Summary,Start Time,End Time,Location
Segurança em Sistemas de Informação - Information Systems Security,Thu May 11 11:00:00 WEST 2023,Thu May 11 12:30:00 WEST 2023,"D1.01, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Dec 12 13:00:00 WET 2022,Mon Dec 12 14:30:00 WET 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Segurança em Sistemas de Informação - Information Systems Security,Thu Feb 16 13:00:00 WET 2023,Thu Feb 16 14:30:00 WET 2023,"Auditório 2, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Thu Apr 13 16:00:00 WEST 2023,Thu Apr 13 17:30:00 WEST 2023,"D1.11, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Thu Oct 27 11:00:00 WEST 2022,Thu Oct 27 12:30:00 WEST 2022,"C7.09, 7, Edifício II (ISCTE-IUL), ISCTE-IUL"
Sistemas de Data Warehouse e Business Intelligence - Data Warehouse and Business Intelligence Systems,Wed Nov 30 09:30:00 WET 2022,Wed Nov 30 11:00:00 WET 2022,"C6.01, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Feb 28 13:00:00 WET 2023,Tue Feb 28 14:30:00 WET 2023,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Sep 23 14:30:00 WEST 2022,Fri Sep 23 16:00:00 WEST 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Thu May 04 13:00:00 WEST 2023,Thu May 04 14:30:00 WEST 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Wed Mar 01 13:00:00 WET 2023,Wed Mar 01 14:30:00 WET 2023,"2E05, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Nov 14 14:30:00 WET 2022,Mon Nov 14 16:00:00 WET 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Feb 14 14:30:00 WET 2023,Tue Feb 14 16:00:00 WET 2023,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri Mar 17 14:30:00 WET 2023,Fri Mar 17 16:00:00 WET 2023,"C6.10, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue May 09 13:00:00 WEST 2023,Tue May 09 14:30:00 WEST 2023,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Fri Apr 21 13:00:00 WEST 2023,Fri Apr 21 14:30:00 WEST 2023,"D1.05, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Dec 02 16:00:00 WET 2022,Fri Dec 02 17:30:00 WET 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Tue Oct 18 14:30:00 WEST 2022,Tue Oct 18 16:00:00 WEST 2022,"C5.09, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
